state,x,y
Jammu and Kashmir,-105.0,218.0
Himachal Pradesh,-92.0,166.0
Uttarakhand,-63.0,135.0
Punjab,-119.0,147.0
Hariyana,-108.0,116.0
Uttar Pradesh,-45.0,80.0
Rajasthan,-141.0,71.0
Gujrat,-182.0,3.0
Madhya Pradesh,-72.0,7.0
Bihar,41.0,51.0
Jharkhand,39.0,14.0
Chhattisgarh,-8.0,-11.0
Sikkim,91.0,87.0
West Bengal,81.0,9.0
Assam,165.0,60.0
Arunachal Pradesh,180.0,96.0
Nagaland,193.0,62.0
Manipur,178.0,32.0
Mizoram,164.0,12.0
Tripura,142.0,14.0
Meghalay,137.0,49.0
Odissa,32.0,-35.0
Andhra Pradesh,-61.0,-106.0
Telangana,-66.0,-69.0
Maharashtra,-133.0,-62.0
Goa,-142.0,-126.0
Karnataka,-118.0,-143.0
Kerala,-103.0,-208.0
Tamilnadu,-74.0,-201.0